,id,name,category,ratings,review_counts,zip_code
156,4Jscimulh38Rq2hOgjb2Hg,Strange Love,Coffee & Tea,4.5,175,M5V 2K2
157,KpEu3vvj1ruoID0T3lmD4Q,Mira,Peruvian,4.5,223,M5V 1E3
158,O66Zy8Y13VBm72ZDhS4fIg,Sassafraz,French,3.5,369,M5R 1A6
159,Ibp4hEKSE8JaX9OvfEiFqg,Otto's Berlin Döner,German,4.0,260,M5T 2L9
160,fWtro4avh88nckn-Mi7l1w,Shunoko,Sushi Bars,4.0,73,M6E 1B5
161,V0eTUwFEIK7aAV_U_OnLEg,CocoaLatte,Coffee & Tea,4.0,67,M6C 1A7
162,_cjPEH9wXhKS-HQe_U3M4Q,Le Sélect Bistro,French,4.0,425,M5V 1E3
163,nJBwEYaulNXHPAUP0OBRtg,FIKA,Coffee & Tea,4.0,180,M5T 2J9
164,VA95qAV2PRH9gtTi2Vfv4Q,Trattoria Nervosa,Italian,4.0,335,M5R 1B8
165,1KP5pShdlC7dqyQbxtP3Zw,Oakwood Espresso,Coffee & Tea,5.0,27,M6E 2W2
166,l8SNag-Ii0YUeSGHkA3Vhw,Ferro Bar & Cafe,Bars,4.0,95,M6C 1B4
167,HczMx_z0HS_PnpdTHc3qzQ,Egg Bae,Breakfast & Brunch,4.0,177,M5T 2L4
168,ubDO6BYjnPSIZIpWxXGdlQ,Karine's,Breakfast & Brunch,4.0,237,M5T 3K5
169,zA6gnF5aPBGoOm6uIbKt-A,Yuzu No Hana,Sushi Bars,4.0,542,M5H 1W7
170,Gc8xWVpbUlBYHAoOT9MTyQ,La Cubana,Cuban,4.0,212,M6J 2Z4
171,Bf2fuqWbHd3L-X69FSMvmg,El Trompo Taco Bar,Mexican,4.0,336,M5T 2M1
172,Jmay78aOzmyWHkpviqUEGA,Actinolite Restaurant,Canadian (New),4.0,80,M6G 3V5
173,QaxDKkqYTtVYZJcqBNTnvQ,Yummy Yummy Dumplings,Chinese,4.0,265,M5T 2A8
174,-eJmNm0j12v1wuyIkfj7yQ,Honest Weight,Seafood,4.5,123,M6P 1Y3
175,mG71gQ5HWl7ut9OCN6NJKA,360 Restaurant,Canadian (New),3.5,871,M5V 2T6
176,KBUjHejDR4Ttsx8TcqWENQ,Imonay House Restaurant,Korean,4.0,77,M6G 1L1
177,PlYrlj86zAYljZTRCBSZ3A,Nom Nom Nom Poutine,Poutineries,4.5,113,M5T 2W6
178,LBQD0H2109oltJNF1raLWA,The Haam,Japanese,4.0,245,M5V 1R7
179,Sk0Ycurq7D083Qs8x65b_Q,George Restaurant,Canadian (New),4.5,262,M5C 1S2
180,gAxeeJKwJtxp3uH9zUQ2aQ,A-Game Cafe,Cafes,4.5,92,M6J 1V2
181,HHvO4MgBFabsmlInou6viQ,Le Baratin,French,4.5,98,M6K 1T8
182,IfUkm42SB9D0m_ZbkQ711A,The Fish Store & Sandwiches,Sandwiches,4.0,144,M6G 1B7
183,nrq5H3LZicjMG0wv7gy08g,Kintaro Izakaya,Japanese,4.0,194,M4Y 4C5
184,FML0YqZ7dLBBC3Suap4_4Q,416 Snack Bar,Tapas/Small Plates,4.0,318,M5T 2R7
185,y-Iw6dZflNix4BdwIyTNGA,Indie Ale House,Breweries,4.0,246,M6P 1Y9
186,z1jWE9gO4ehWJESM_H7zpA,Icha Tea,Coffee & Tea,4.0,185,M5T 2E2
187,yY3jNsrpCyKTqQuRuLV8gw,Cactus Club Cafe,Cocktail Bars,4.0,517,M5H 1P9
188,C6vH0qzmcerMkiJy3VO9qA,Estiatorio Volos,Seafood,4.0,304,M5H 2L3
189,ejKXczjEkm1gzyRdblQm8w,Fresh on Spadina,Vegan,4.0,395,M5V 2L7
190,dhvePGMLjWvl4fhk9lgxew,Civil Liberties,Cocktail Bars,4.5,41,M6G 1M2
191,oRy013Ovh_RtEouO-rGX2A,Veggie D'Light,Caribbean,4.5,79,M5T 3K7
192,KR8ErN2eKUlmohxmYDLBBg,Koh Lipe Thai Kitchen,Thai,4.0,193,M5T 1L1
193,ieour3mPrdGm1cCg1IwN8w,Kiyo,Japanese,4.5,34,M5R 3J1
194,dRjU-uxMeInyYgBb61Ap7A,Itacate,Mexican,4.5,41,M6E 1A2
195,i2sSSIrgQg1fVjqYXZLvNA,PAT Central Market,Grocery,4.0,86,M6G 1L3
196,O1TvPrgkK2bUo5O5aSZ7lw,Rol San,Dim Sum,3.5,737,M5T 2E9
197,QPVc_HQYcQicsowyeMPpkA,Tallboys Craft Beer House,Pubs,4.0,89,M6G 1M2
198,c78Pat78fVUBFPXYeVvbaQ,Oddseoul,Korean,4.0,306,M6J 2Z4
199,QjhrYO6LD5mrU0WI7jxZ-g,Little Pebbles,Desserts,4.0,132,M5T 3K7
200,YJ05ntGlszxACOD5zn1YjA,The Burger's Priest,Burgers,4.0,378,M5V 2A9
201,OlklbRrfBIlc6obPtZPF3w,CANO Restaurant,Italian,4.5,47,M6E 1A7
202,VEMX1R4xtF5AXwKlNMyDVg,High Park,Parks,4.5,141,M6P 3K7
203,A7waf6G3cvnLfAqKeLL8DA,Buca,Italian,4.0,420,M5V 1M6
204,fqBnZxSkG287OOyU9LvTig,Bar Hop,Bars,4.0,308,M5V 1K1
205,QNfh79NwsNnl-AngRhg2ww,Kingyo Izakaya,Japanese,4.0,336,M4X 1R7
206,h8vVxwP6FnlkRDONKBHT-w,Chubby's Jamaican Kitchen,Caribbean,4.0,252,M5V 2N2
207,y769FA7VJOW4QQYdYlR62A,Levetto,Italian,4.0,229,M6J 3S7
208,wNXw53wmePcf_V3rF18LUg,Grazie Ristorante,Italian,4.0,416,M4P 2C8
209,wK1SMAzIpHh-KYbrs7m0nA,California Sandwiches,Sandwiches,4.0,141,M6J 2N2
210,RyDiwx4xD3Lx8sWHx1aFlQ,Smoque N' Bones,Barbeque,4.0,380,M6J 1G4
211,dd3GZs6zW2t7BM0cbxAzvg,La Palette,French,4.0,230,M5V 2B3
212,SOkat3uLjX__3-tCowhlHg,Rudy,Burgers,4.0,155,M5V 2C5
213,_u1Bq7QsgMUXSMex8QHqLQ,Burrito Boyz,Mexican,4.0,417,M5H 1W7
214,gy5pr5bFAjOL5rERSdMCLg,The Keg Steakhouse + Bar,Steakhouses,4.0,267,M5H 3R8
215,LBHbyID7tcaGszznHtnCrw,JOEY Eaton Centre,Canadian (New),3.5,480,M5G 1Z3
216,PiLfiQYyDNgBaAvSL58cqg,Okonomi House Restaurant,Japanese,4.0,269,M4Y 2R4
217,qaNt4vtVdge_S68DVjw5Jg,The Queen And Beaver Public House,Pubs,4.0,380,M5G 1H1
218,7DW2fsInJRfOHMTj2Z6fJw,Brock Sandwich,Salad,4.5,102,M6H 1N5
219,86W-L1l70wL-7n0lSfoY-Q,Rush Hour,Portuguese,4.5,43,M6H 3L1
220,5dy8OiWJty9AuxBcBzeBZQ,Piano Piano,Italian,3.5,249,M5S 1G5
221,1N5cHdQi_DdK0XpvfpSyRw,Queen of Persia,Persian/Iranian,4.5,34,M6C 1B1
222,PGRVqqPqR2hIZNRLqlPxag,Good Hombres,Mexican,4.5,73,M5T 2S6
223,ZdaZwXC0FByDY3EwNELphw,Union,French,4.0,213,M6J 2Y7
224,uuuNWBNHdYk8EOwjxmI8OA,Randy's Take-Out,Caribbean,4.5,74,M6E 2G9
225,G12kABl0tfK4ylgj8XF06w,Voodoo Child,Coffee & Tea,4.0,133,M5T 1S7
226,IRF1hPi3GuxJ-EpoEpzI7Q,Hockey Hall of Fame,Museums,4.5,181,M5E 1X8
227,bzMO8LJmJtgo3KuyWGKUxA,Homemade Ramen,Chinese,4.0,252,M5T 2E3
228,BY0o4pOtNPKyTklTFXDJpg,Dineen Coffee,Coffee & Tea,4.0,357,M5C 2L7
229,2cKAew-9iLS-mo-TtOgFiA,Raku,Japanese,4.0,221,M5V 2A8
230,7IF5cjvH1d97pzvYPnf9Mg,Savera Indian Cuisine,Indian,4.0,56,M6C 1B9
231,nktQ_aBRp5CmVOkXR0Mz1g,Arisu Korean BBQ & Sushi,Japanese,3.5,190,M6G 1K4
232,zgQHtqX0gqMw1nlBZl2VnQ,Momofuku Noodle Bar,Ramen,3.0,1037,M5H 0A3
233,KxHDiCOhHWQu_VOw8DMfJA,The Hole In the Wall,Pubs,4.5,156,M6P 1Y9
234,8MWiywu09bhLWIpzVaD4gw,Aunties & Uncles,Breakfast & Brunch,3.5,346,M5S 2P1
235,aIBvcOjkAURJJ-UH0G-s0g,Bitondo's Pizzeria,Pizza,4.0,148,M6J 2N7
236,-vFY4VZ1F0F82fnHVnP22w,Lox + Schmear,Bagels,4.5,37,M6E 1A4
237,X-66Npl7XhHw-9YIC0mb5A,Chica's Nashville Hot Chicken,Chicken Shop,4.5,99,M6P 2K6
238,WRPlRsDK47DFl3dz65zhYg,Pinky's Ca Phe,Vietnamese,4.0,150,M6G 2Y4
239,d4P7boUqiA2pR59jOlzYLA,Chef's Hall,Food Court,4.0,292,M5H 2G4
240,mES9E5K4HbYoPFXGv0pUuw,Como En Casa,Mexican,4.0,225,M4Y 1Z2
241,rfgln6-7WFCu7S7fOoqMdA,Loga's Corner,Himalayan/Nepalese,4.5,135,M6K 2V5
242,DD_dSlQKcln7VXbN1qxcLA,Selam Restaurant & Lounge,Ethiopian,4.0,58,M6G 1L9
243,LmIGu7WPby4lm8MpELlOMw,Salad Days,Food Stands,4.5,122,M4W 1A1
244,fQwB9Z98YEhkJit7c3z51A,The Carbon Bar,Barbeque,4.0,377,M5C 1S2
245,wNXw53wmePcf_V3rF18LUg,Grazie Ristorante,Italian,4.0,416,M4P 2C8
246,b9Ctxco-1HyjE55W_28MYA,Himalayan Coffee House,Coffee & Tea,4.5,134,M4P 2J2
