restaurant_id,name,category,ratings,review_counts,zip_code
XrcB7Of1KfHlkeXYpHLIrw,Tibet Kitchen,Himalayan/Nepalese,4.5,246,M6R 1A6
4_EgrMY-EI-i-xyWixI2qg,Mystic Muffin,Sandwiches,4.5,262,M5C 2H4
LFxMt7Oi0vdsmZ3h_UBV-g,Nodo Restaurant,Italian,4.5,51,M6C 1B6
MS-hfug4QDXqb_Mws3qlzA,Grand Electric,Bars,3.5,684,M6K 1L4
Da6eZFThE9xanUAGNpZxAg,Nuit Social,Cocktail Bars,4.5,208,M6J 1J5
RNvVqnX-BLyT4Oe6FIyeJQ,Soma Chocolatemaker,Chocolatiers & Shops,4.5,204,M5V 1K4
dqoxe7g7CsnFlRQA9N-2NQ,Creeds Coffee Bar,Cafes,4.0,66,M5R 1V9
fN_I3jP7RD2llubTvhXtKQ,Good Fork,Breakfast & Brunch,4.0,336,M6K 1T5
ocLnCE2E29j-CoBQj1yaSA,Cafe Landwer,Cafes,4.0,329,M5H 3B8
O-uIEuv7JLUHajkemx_sVw,Beerbistro,Bistros,4.0,638,M5C 1C4
rHxc9sR5ELjboLqd_fUzJg,Barista & Chef,Mediterranean,4.5,44,M6E 1A2
rxA9c0_XObabVL1WCTA4FA,Sneaky Dee's,Tex-Mex,3.5,441,M5T 1T1
-OxDX2fPQLYi6ChW2Z6xxQ,Fresh On Bloor,Vegan,3.5,312,M5S 1W5
fPISsMIXOYZP1uins2Bwyw,Summer's Ice Cream,Ice Cream & Frozen Yogurt,4.5,147,M5R 1C1
8I5U8OQ06nSxX2y4PPOWzQ,Japango,Sushi Bars,3.5,673,M5G 1P5
ww_MXl-qDLeYdYTZZ9KWbA,Pho Linh,Vietnamese,4.0,217,M6H 1B6
X6ZZksefmR_piQj2Gbnduw,Paldo Gangsan,Korean,4.0,74,M6G 1L4
b4LmLgVdbhM-nc1IZc5Weg,Rodney's Oyster House,Seafood,4.0,385,M5V 1K4
cQK9M2JAwETQnnBoYyua5A,The Senator,Breakfast & Brunch,4.0,477,M5B 1T8
Tn8O4tv1U-n0PRC8kbJJPg,Banh Mi Nguyen Huong Food,Bakeries,4.0,187,M5T 2G2
FyUcIAn8timIFybYpOLbAw,The Alley,Bubble Tea,4.5,191,M4Y 0B6
mzREMIknfmagJugibXrCsQ,Pho Tien Thanh,Vietnamese,4.0,398,M6J 2Y9
BYDs_o6U4CLxJec8k1Q90Q,Poke Guys,Hawaiian,4.0,342,M5G 1P5
-av1lZI1JDY_RZN2eTMnWg,Salad King Restaurant,Thai,3.5,949,M5B 1R8
ABRgXNwdOX_JyqChNr8IYw,Swatow Restaurant,Chinese,4.0,396,M5T 2E6
FfJD4vO-iYUL2Kr0WWzNYg,The Caledonian,Pubs,4.5,139,M6H 1A2
5tQSJ2sed3Ln-1S1rbIFoQ,Moon Bean Coffee Company,Coffee & Tea,4.0,234,M5T 1K6
4Jscimulh38Rq2hOgjb2Hg,Strange Love,Coffee & Tea,4.5,175,M5V 2K2
KpEu3vvj1ruoID0T3lmD4Q,Mira,Peruvian,4.5,223,M5V 1E3
O66Zy8Y13VBm72ZDhS4fIg,Sassafraz,French,3.5,369,M5R 1A6
Ibp4hEKSE8JaX9OvfEiFqg,Otto's Berlin Döner,German,4.0,260,M5T 2L9
fWtro4avh88nckn-Mi7l1w,Shunoko,Sushi Bars,4.0,73,M6E 1B5
V0eTUwFEIK7aAV_U_OnLEg,CocoaLatte,Coffee & Tea,4.0,67,M6C 1A7
_cjPEH9wXhKS-HQe_U3M4Q,Le Sélect Bistro,French,4.0,425,M5V 1E3
nJBwEYaulNXHPAUP0OBRtg,FIKA,Coffee & Tea,4.0,180,M5T 2J9
VA95qAV2PRH9gtTi2Vfv4Q,Trattoria Nervosa,Italian,4.0,335,M5R 1B8
1KP5pShdlC7dqyQbxtP3Zw,Oakwood Espresso,Coffee & Tea,5.0,27,M6E 2W2
l8SNag-Ii0YUeSGHkA3Vhw,Ferro Bar & Cafe,Bars,4.0,95,M6C 1B4
HczMx_z0HS_PnpdTHc3qzQ,Egg Bae,Breakfast & Brunch,4.0,177,M5T 2L4
ubDO6BYjnPSIZIpWxXGdlQ,Karine's,Breakfast & Brunch,4.0,237,M5T 3K5
zA6gnF5aPBGoOm6uIbKt-A,Yuzu No Hana,Sushi Bars,4.0,542,M5H 1W7
